,Symbol 1,Symbol 2,Count
0,BTC,WBTC,351
0,MANA,SAND,324
0,ETH,GNO,318
0,ENJ,SAND,317
0,ETH,WBTC,314
0,AXS,SAND,311
0,MANA,ROSE,311
0,MANA,VET,310
0,BTC,ETH,309
0,ROSE,SAND,309
0,ENJ,MANA,309
0,AXS,MANA,309
0,BAT,ONT,308
0,ANKR,ZIL,308
0,BNB,CAKE,307
0,ICX,SAND,307
0,VET,ZRX,307
0,ICX,ZRX,306
0,ADA,ONE,306
0,ADA,ETC,306
0,AXS,ROSE,306
0,VET,XTZ,306
0,ICX,IOST,306
0,1INCH,ROSE,306
0,SAND,XTZ,306
0,AVAX,HOT,305
0,ANKR,ICX,305
0,ICX,T,305
0,MINA,ROSE,305
0,BAT,ROSE,305
0,ENJ,ROSE,304
0,ROSE,THETA,304
0,BAT,XTZ,304
0,DOT,MATIC,304
0,HOT,ONE,304
0,AXS,GMT,303
0,ANKR,ROSE,303
0,AVAX,XTZ,303
0,ROSE,XTZ,303
0,IOST,XTZ,303
0,AVAX,ETC,303
0,ETC,ZRX,303
0,ETH,MINA,302
0,LUNA,LUNC,302
0,LRC,WBTC,302
0,ONE,ZIL,302
0,LRC,SKL,302
0,HOT,XTZ,302
0,RUNE,ZRX,302
0,ONT,XEM,302
0,ETC,ETH,302
0,IOST,ROSE,302
0,ETC,VET,302
0,THETA,ZRX,302
0,ADA,HOT,302
0,ICX,MANA,301
0,ADA,RUNE,301
0,ADA,ROSE,301
0,ONE,ZRX,301
0,AVAX,SOL,301
0,ONT,QTUM,301
0,LRC,ROSE,301
0,ROSE,VET,301
0,ATOM,OSMO,301
0,IOST,ZIL,301
0,ADA,BTC,301
0,LRC,RUNE,301
0,ENJ,ZIL,301
0,GALA,SAND,301
0,1INCH,MANA,301
0,HOT,ROSE,301
0,FTM,MANA,301
0,FTM,SAND,301
0,GALA,MANA,301
0,ETC,ROSE,301
0,SAND,ZRX,301
0,ETH,SAND,300
0,BAT,ZIL,300
0,ETH,MATIC,300
0,AXS,ENJ,300
0,BAL,ETH,300
0,BORA,PLA,300
0,ETC,NEAR,300
0,ETH,LRC,300
0,ENJ,ICX,300
0,BAT,MANA,300
0,ETC,HOT,300
0,FIL,SAND,300
0,HOT,WBTC,300
0,LRC,MINA,300
0,ADA,DOT,300
0,IOST,THETA,300
0,ADA,WBTC,300
0,ANKR,VET,300
0,GALA,ROSE,300
0,ADA,SAND,300
0,GRT,NEAR,300
0,MATIC,XTZ,300
0,HOT,LRC,300
0,MANA,XTZ,300
0,MANA,ONE,300
0,LRC,SAND,300
0,LRC,ONE,300
0,ETH,ROSE,299
0,RUNE,SAND,299
0,ETC,RUNE,299
0,ALGO,MANA,299
0,ZIL,ZRX,299
0,ROSE,ZIL,299
0,GALA,HOT,299
0,FTM,YFI,299
0,ETH,RUNE,299
0,HOT,ICX,299
