stars,forks,C++,Python,C,M4,Shell,Makefile,Other,Go,JavaScript,Assembly,Java,Sage,CMake,Solidity,TypeScript,Rust,Ruby,Dockerfile,Handlebars,PLpgSQL,Starlark,Haskell,Nix,Jsonnet,HTML,SCSS,WebAssembly,C#,OCaml,Reason,Standard ML,PEG.js,Erlang,    Contributors,tworec,Pact,Smarty,Vue,Rich Text Format
71.3k,35.6k,65.6%,19.5%,10.7%,1.3%,1.0%,0.9%,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.6k,18.4k,,,5.1%,,,,1.0%,89.5%,3.3%,0.7%,0.2%,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4k,1.5k,73.8%,,24.0%,,0.3%,,0.9%,,0.2%,,0.2%,,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,
436,268,,,,,0.1%,,,,59.7%,,,,,21.7%,18.5%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3k,2.8k,67.5%,15.8%,10.2%,2.7%,0.7%,1.3%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4k,1.4k,,,,,,,0.5%,,,,99.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7k,1.6k,,,,,0.6%,,,,0.0%,,,,,,,99.2%,0.1%,0.1%,0.0%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,442,,,,,0.2%,,,,65.9%,,,,,33.9%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
